"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FGLBJAKE_00720",23007.4423494875,8.39383333143471,0.254596752770868,32.969129574834,2.25064935087823e-238,2.8370027343965e-237
"FGLBJAKE_02147",843.278648168938,-5.43593977591305,0.165925262353065,-32.7613752048566,2.09106408704454e-235,2.62433108566201e-234
"FGLBJAKE_01811",10888.0056990016,-2.47613933152793,0.0756062838530209,-32.7504435523052,2.99241992881057e-235,3.73922385887026e-234
"FGLBJAKE_00292",1465.06692171346,-2.50714356453759,0.0765639326937338,-32.745752162007,3.48985259987838e-235,4.34192050738115e-234
"FGLBJAKE_02284",2021.16393336911,2.40967431877104,0.0741006723337396,32.5189265209117,5.75974666994049e-232,7.13513445233145e-231
"FGLBJAKE_00826",2771.2955206049,2.52288982065475,0.0776580806821122,32.4871513497999,1.61942927510506e-231,1.9975277839708e-230
"FGLBJAKE_00879",2636.01425743846,2.3522007095987,0.072435791324082,32.4729069235236,2.57325311089596e-231,3.16048266697222e-230
"FGLBJAKE_02361",1631.67366099207,2.73567758558548,0.0847346268637661,32.2852378872668,1.12721494959973e-228,1.37855990006367e-227
"FGLBJAKE_01814",43685.3743241578,-2.3635363502097,0.0732703288824637,-32.2577554415124,2.73874441931746e-228,3.33523366996541e-227
"FGLBJAKE_01141",3899.53848556067,-2.12826509141095,0.066049995251613,-32.2220324665197,8.67382972186907e-228,1.05183909791779e-226
"FGLBJAKE_02909",3474.12139322375,-2.06149703706156,0.0640500924752541,-32.1856996203093,2.79801288778511e-227,3.37877690735059e-226
"FGLBJAKE_02135",2694.31996989312,2.44098712582703,0.0760251844722742,32.1076120074032,3.45217488082151e-226,4.15127640480378e-225
"FGLBJAKE_01790",9475.78618167303,-1.96754250361266,0.0614442312982791,-32.0215984810891,5.45802183128673e-225,6.53598114296586e-224
"FGLBJAKE_00327",777.902155132038,5.73216033606018,0.179134292346389,31.9992351044433,1.11746151406102e-224,1.33260763129103e-223
"FGLBJAKE_01794",47550.0050161941,-2.34288951719367,0.0732186008145138,-31.9985562566124,1.14202518226104e-224,1.35627288174306e-223
"FGLBJAKE_00815",10536.2730167574,-1.89602579052767,0.0594953106809781,-31.8684912949597,7.29884168146922e-223,8.63245719857718e-222
"FGLBJAKE_02367",6165.03590447892,1.79490878185388,0.056325892503416,31.8664951779508,7.77870150311392e-223,9.16229021309401e-222
"FGLBJAKE_00492",10402.672109451,-1.8428018898589,0.0579355620780218,-31.8077847829836,5.05215991092305e-222,5.92649289142565e-221
"FGLBJAKE_01560",1570.36453664751,-2.57311190768785,0.0810068401226894,-31.7641313226233,2.02621288255558e-221,2.36720968474176e-220
"FGLBJAKE_01674",930.642785786139,3.4985606927908,0.111244878339788,31.4491844029415,4.30678826964304e-217,5.01121841577089e-216
"FGLBJAKE_00667",1301.06304973478,-2.70896464982908,0.086219049136807,-31.4195607229519,1.09390038668858e-216,1.26768939973508e-215
"FGLBJAKE_01744",22560.0050113685,1.68666786845728,0.053769655317628,31.3683965146102,5.46095762794348e-216,6.30312940671066e-215
"FGLBJAKE_00456",5012.19046887982,-1.84888934894712,0.0590140163113673,-31.3296647900065,1.84130413826132e-215,2.11676323734521e-214
"FGLBJAKE_01145",953.909502985007,3.37072708124404,0.107591738204803,31.3288653709432,1.88805041090347e-215,2.1532765400542e-214
"FGLBJAKE_02133",1493.56862880521,2.63029710243686,0.0839575573842892,31.3288902677041,1.88657683300623e-215,2.1532765400542e-214
"FGLBJAKE_00664",624.337642068948,3.98768746241555,0.127475530141666,31.2819837500104,8.20454550755169e-215,9.3201042643097e-214
"FGLBJAKE_01201",1152.54712357072,-2.67156552078519,0.0854507020662149,-31.2644069175116,1.42240322336849e-214,1.60944364722875e-213
"FGLBJAKE_02496",628.423775614059,3.89379586969602,0.124692419829364,31.2272059121518,4.55356949284708e-214,5.13214067546765e-213
"FGLBJAKE_00791",8854.44582200818,-1.8333118718499,0.0587686614343904,-31.1953995055105,1.23005970338859e-213,1.38093421388235e-212
"FGLBJAKE_00447",2255.89054493428,2.28790772581967,0.0734303489286227,31.1575221853244,4.01146272256154e-213,4.48597037534703e-212
"FGLBJAKE_00412",1294.8651794796,-2.91570732257648,0.093704523843426,-31.1159718120806,1.46469352034628e-212,1.63160045638574e-211
"FGLBJAKE_01162",9094.95030927641,-1.69904595091886,0.0547771853639726,-31.0174014898608,3.14080948307875e-211,3.48520712523874e-210
"FGLBJAKE_00733",5217.01269256143,-1.87833225240117,0.060679339233634,-30.9550544901127,2.17233307137563e-210,2.40126355658983e-209
"FGLBJAKE_01272",4773.90151653251,2.95220508814673,0.0954145471804654,30.9408279490441,3.37549720189843e-210,3.71692680392953e-209
"FGLBJAKE_02912",5666.02377949884,1.77964191367995,0.0577041501655909,30.8407958279083,7.44291427490191e-209,8.16447924659088e-208
"FGLBJAKE_01253",1504.07309765616,2.31721696146054,0.0752909468935588,30.7768338301876,5.35131577450219e-208,5.84778765624307e-207
"FGLBJAKE_03089",2430.51338085634,2.57559338863571,0.0837129925485659,30.7669491941944,7.25602359233239e-208,7.89917113801639e-207
"FGLBJAKE_00914",2042.82945302761,2.20168757094512,0.0719008810922455,30.6211486910773,6.40199498178182e-206,6.94314474627961e-205
"FGLBJAKE_02576",4639.97513274601,2.1582114149351,0.0706688756055875,30.5397729402172,7.7306110090387e-205,8.35254738345008e-204
"FGLBJAKE_01435",557.602642531185,4.15191034693559,0.135975410910525,30.5342732125857,9.1459661946448e-205,9.84475911738171e-204
"FGLBJAKE_01785",89163.7720563641,-1.65649484476774,0.0543563114595361,-30.4747470953923,5.63214350384875e-204,6.03984344405272e-203
"FGLBJAKE_02177",627.558572226218,3.97368073163907,0.130461706649284,30.4585984170925,9.21668569551269e-204,9.8471207021946e-203
"FGLBJAKE_01163",3487.54066392527,-2.01529516947176,0.0662108520074601,-30.4375356662786,1.75144425356899e-203,1.86431510546566e-202
"FGLBJAKE_01155",1095.71234328123,2.50462842124917,0.082668833570613,30.2971302856208,1.25059707383503e-201,1.32627896317413e-200
"FGLBJAKE_00921",1832.91655866001,-2.7682709928989,0.0915101059506458,-30.2509866439441,5.06369924300797e-201,5.35039397956063e-200
"FGLBJAKE_00756",6000.94322299087,-2.4199420788993,0.0801361652549696,-30.1978772156086,2.52557268644124e-200,2.65878970726452e-199
"FGLBJAKE_01810",10448.3745753686,-2.59986709705235,0.0861037804204902,-30.1945754803775,2.79065655358452e-200,2.92713391788391e-199
"FGLBJAKE_00647",4305.69504282897,-1.73212205816335,0.0575775864011596,-30.0832696614818,8.02060829078135e-199,8.38226481007476e-198
"FGLBJAKE_02276",2164.17829098452,-2.26165248101545,0.0752124016644303,-30.0702069202111,1.18856557644986e-198,1.23765850243366e-197
"FGLBJAKE_00104",48286.7552656327,-1.79783185198464,0.0598124922669999,-30.0577986946141,1.72667903384344e-198,1.79150741634153e-197
"FGLBJAKE_01969",620.314257616966,3.81150875246786,0.12753554205728,29.8858552759826,3.00480383650293e-196,3.10640511730554e-195
"FGLBJAKE_02120",2414.4509487474,-2.07830165635544,0.0695563846798916,-29.8793801017705,3.64706832647269e-196,3.75687253415144e-195
"FGLBJAKE_00300",1125.23323050397,2.69398825086258,0.0903904664957205,29.8038980802265,3.47769448544799e-195,3.5696049825634e-194
"FGLBJAKE_02124",594.946001727084,3.5344293900074,0.118654470493448,29.7875788017829,5.65851222709885e-195,5.78738937390822e-194
"FGLBJAKE_01962",37075.7832069615,-1.52104419930655,0.051096079825029,-29.7683149962803,1.00486976779795e-194,1.02411195484089e-193
