"gene","BHI_mean","Serum_mean","HSerum_mean","BHI_norm","Serum_norm","HSerum_norm","any_insertions"
"FGLBJAKE_00281",0,0,0,0,0,0,FALSE
"FGLBJAKE_00282",0,10.3333333333333,0,0,125.754017029528,0,TRUE
"FGLBJAKE_00283",0.666666666666667,0,33.3333333333333,6.65597273713567,0,329.417655468663,TRUE
"FGLBJAKE_00284",0,0,0,0,0,0,FALSE
"FGLBJAKE_00285",0,0,0,0,0,0,FALSE
"FGLBJAKE_00286",0,0,0,0,0,0,FALSE
"FGLBJAKE_00287",0,0,0,0,0,0,FALSE
"FGLBJAKE_00288",0,0,0,0,0,0,FALSE
"FGLBJAKE_00289",53.6666666666667,42,41,535.805805339421,511.129230507113,405.183716226455,TRUE
"FGLBJAKE_00290",23.3333333333333,4.33333333333333,0.666666666666667,232.959045799748,52.7355555285117,6.58835310937325,TRUE
"FGLBJAKE_00291",0,0,0,0,0,0,FALSE
"FGLBJAKE_00292",0,0,0,0,0,0,FALSE
"FGLBJAKE_00293",3.33333333333333,1,0,33.2798636856783,12.1697435835027,0,TRUE
"FGLBJAKE_00294",0,0,0,0,0,0,FALSE
"FGLBJAKE_00295",6,0,0,59.903754634221,0,0,TRUE
"FGLBJAKE_00296",1.66666666666667,8.33333333333333,0,16.6399318428392,101.414529862522,0,TRUE
"FGLBJAKE_00297",0,0,0,0,0,0,FALSE
"FGLBJAKE_00298",0,0,0,0,0,0,FALSE
"FGLBJAKE_00299",0,0,0,0,0,0,FALSE
"FGLBJAKE_00300",0,17,117,0,206.885640919546,1156.25597069501,TRUE
"FGLBJAKE_00301",0,0,0,0,0,0,FALSE
"FGLBJAKE_00302",0,0,0,0,0,0,FALSE
"FGLBJAKE_00303",0,0,0,0,0,0,FALSE
"FGLBJAKE_00304",0,0,13.6666666666667,0,0,135.061238742152,TRUE
"FGLBJAKE_00305",0,0,0,0,0,0,FALSE
"FGLBJAKE_00306",0,0,0,0,0,0,FALSE
"FGLBJAKE_00307",0,0,0,0,0,0,FALSE
"FGLBJAKE_00308",0,0,0,0,0,0,FALSE
"FGLBJAKE_00309",0,0,0,0,0,0,FALSE
"FGLBJAKE_00311",0,0,0,0,0,0,FALSE
"FGLBJAKE_00312",0,0,0,0,0,0,FALSE
"FGLBJAKE_00313",0.333333333333333,24.3333333333333,0,3.32798636856783,296.130427198566,0,TRUE
"FGLBJAKE_00314",0,0,0,0,0,0,FALSE
"FGLBJAKE_00315",0,0,0,0,0,0,FALSE
"FGLBJAKE_00316",0,0,0,0,0,0,FALSE
"FGLBJAKE_00317",0,0,12.3333333333333,0,0,121.884532523405,TRUE
"FGLBJAKE_00318",1.66666666666667,114,183.333333333333,16.6399318428392,1387.35076851931,1811.79710507764,TRUE
"FGLBJAKE_00319",0,0,0,0,0,0,FALSE
"FGLBJAKE_00320",76,327.333333333333,220.333333333333,758.780892033466,3983.56273299988,2177.45070264786,TRUE
"FGLBJAKE_00321",33.6666666666667,5.66666666666667,40,336.126623225351,68.9618803065153,395.301186562395,TRUE
"FGLBJAKE_00322",0,0,3.33333333333333,0,0,32.9417655468663,TRUE
"FGLBJAKE_00323",23.3333333333333,22.3333333333333,107.333333333333,232.959045799748,271.79094003156,1060.72485060909,TRUE
"FGLBJAKE_00324",0,0,0,0,0,0,FALSE
"FGLBJAKE_00325",0,0,0,0,0,0,FALSE
"FGLBJAKE_00326",1.66666666666667,0,0,16.6399318428392,0,0,TRUE
"FGLBJAKE_00327",0,0,0,0,0,0,FALSE
"FGLBJAKE_00328",0,0,0,0,0,0,FALSE
"FGLBJAKE_00329",0,0,0,0,0,0,FALSE
"FGLBJAKE_00330",0,0,0,0,0,0,FALSE
"FGLBJAKE_00331",39.6666666666667,36.3333333333333,13.3333333333333,396.030377859572,442.167350200598,131.767062187465,TRUE
"FGLBJAKE_00332",0,0,0,0,0,0,FALSE
"FGLBJAKE_00333",0,0,0,0,0,0,FALSE
"FGLBJAKE_00334",0,0,0,0,0,0,FALSE
"FGLBJAKE_00335",0,0,0,0,0,0,FALSE
"FGLBJAKE_00336",0,0,0,0,0,0,FALSE
"FGLBJAKE_00337",0,0,0,0,0,0,FALSE
"FGLBJAKE_00338",0,0,0,0,0,0,FALSE
"FGLBJAKE_00339",0,0,0,0,0,0,FALSE
"FGLBJAKE_00340",0,0,0,0,0,0,FALSE
"FGLBJAKE_00341",0,0,0,0,0,0,FALSE
"FGLBJAKE_00342",0,7.33333333333333,0,0,89.2447862790198,0,TRUE
"FGLBJAKE_00343",2107.33333333333,1472.33333333333,3136,21039.5298220858,17917.9191361105,30991.6130264918,TRUE
"FGLBJAKE_00344",0,0,0,0,0,0,FALSE
"FGLBJAKE_00345",0,0,0,0,0,0,FALSE
"FGLBJAKE_00346",0,0,0,0,0,0,FALSE
"FGLBJAKE_00347",0,0,0,0,0,0,FALSE
"FGLBJAKE_00348",0,0,0,0,0,0,FALSE
"FGLBJAKE_00349",0,0,0,0,0,0,FALSE
"FGLBJAKE_00350",0,0,0,0,0,0,FALSE
"FGLBJAKE_00351",0,0,0,0,0,0,FALSE
"FGLBJAKE_00352",0,0,0,0,0,0,FALSE
"FGLBJAKE_00353",0,0,0,0,0,0,FALSE
"FGLBJAKE_00354",0,0,0,0,0,0,FALSE
"FGLBJAKE_00355",0,0,0,0,0,0,FALSE
"FGLBJAKE_00356",0,0,0,0,0,0,FALSE
"FGLBJAKE_00357",0,0,0,0,0,0,FALSE
"FGLBJAKE_00358",0,0,0,0,0,0,FALSE
"FGLBJAKE_00359",0,0,0,0,0,0,FALSE
"FGLBJAKE_00360",0,17.3333333333333,72.6666666666667,0,210.942222114047,718.130488921684,TRUE
"FGLBJAKE_00361",212.333333333333,280,638.333333333333,2119.92731677771,3407.52820338075,6308.34810222489,TRUE
"FGLBJAKE_00362",586.333333333333,364,693.666666666667,5853.92802231082,4429.78666439498,6855.18141030287,TRUE
"FGLBJAKE_00363",0,0,0,0,0,0,FALSE
"FGLBJAKE_00364",0,0,0,0,0,0,FALSE
"FGLBJAKE_00365",118.333333333333,155.333333333333,95,1181.43516084158,1890.36683663742,938.840318085688,TRUE
"FGLBJAKE_00366",0,0,0,0,0,0,FALSE
"FGLBJAKE_00367",0,0,0,0,0,0,FALSE
"FGLBJAKE_00368",0,0,0,0,0,0,FALSE
"FGLBJAKE_00369",68.3333333333333,51.3333333333333,162.333333333333,682.237205556406,624.713503953138,1604.26398213239,TRUE
"FGLBJAKE_00370",0,0,0,0,0,0,FALSE
"FGLBJAKE_00371",0,0,0,0,0,0,FALSE
"FGLBJAKE_00372",0,0,0,0,0,0,FALSE
"FGLBJAKE_00373",40,61,18.3333333333333,399.35836422814,742.354358593664,181.179710507764,TRUE
"FGLBJAKE_00374",0,0,0,0,0,0,FALSE
"FGLBJAKE_00375",0,0,0,0,0,0,FALSE
