"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009260","GO:0009260","25/146","72/986",0.347222222222222,2.34493911719939,4.9391324842806,8.8761775012806e-06,0.000676203340552104,0.00060476922305376,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_01118/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",25
"GO:0009259","GO:0009259","25/146","73/986",0.342465753424658,2.31281666353913,4.85718921431974,1.18078376461197e-05,0.000823719802980749,0.000736702047132638,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_01118/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",25
"GO:0009218","GO:0009218","10/146","16/986",0.625,4.2208904109589,5.4125880298156,1.37614286894159e-05,0.000823719802980749,0.000736702047132638,"FGLBJAKE_02275/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",10
"GO:0009220","GO:0009220","10/146","16/986",0.625,4.2208904109589,5.4125880298156,1.37614286894159e-05,0.000823719802980749,0.000736702047132638,"FGLBJAKE_02275/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",10
"GO:0009124","GO:0009124","22/146","61/986",0.360655737704918,2.4356613518976,4.82392959361689,1.65951538158957e-05,0.000927115926514709,0.000829175404695984,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",22
"GO:0046390","GO:0046390","25/146","75/986",0.333333333333333,2.25114155251142,4.69713228434938,2.04599572684282e-05,0.00107159026193393,0.000958387472047426,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_02275/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00859/FGLBJAKE_00867/FGLBJAKE_01118/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",25
"GO:0009123","GO:0009123","22/146","65/986",0.338461538461538,2.28577449947313,4.46937269661433,5.30601173918836e-05,0.0021498977422566,0.00192278255556676,"FGLBJAKE_00711/FGLBJAKE_00713/FGLBJAKE_00721/FGLBJAKE_00716/FGLBJAKE_00720/FGLBJAKE_01744/FGLBJAKE_00723/FGLBJAKE_00722/FGLBJAKE_00719/FGLBJAKE_00709/FGLBJAKE_00715/FGLBJAKE_01718/FGLBJAKE_00718/FGLBJAKE_00717/FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",22
"GO:0006222","GO:0006222","8/146","12/986",0.666666666666667,4.50228310502283,5.08647944495258,5.66961930355266e-05,0.0021498977422566,0.00192278255556676,"FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",8
"GO:0009173","GO:0009173","8/146","12/986",0.666666666666667,4.50228310502283,5.08647944495258,5.66961930355266e-05,0.0021498977422566,0.00192278255556676,"FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",8
"GO:0009174","GO:0009174","8/146","12/986",0.666666666666667,4.50228310502283,5.08647944495258,5.66961930355266e-05,0.0021498977422566,0.00192278255556676,"FGLBJAKE_00864/FGLBJAKE_00865/FGLBJAKE_00862/FGLBJAKE_00867/FGLBJAKE_00869/FGLBJAKE_00866/FGLBJAKE_00863/FGLBJAKE_00861",8
